0	-1316	-264	-660
15	-1316	-264	-660
30	-112	80	-104
46	-960	-336	-16
62	-1324	0	-16
77	-1324	0	-16
92	-1548	-276	168
108	-1980	-60	-116
123	-1980	-60	-116
138	-2040	8	76
153	-2040	-264	204
169	-2040	-268	-108
184	-2040	-268	-108
199	-2040	-348	60
221	-2024	-180	-88
236	-1640	-48	172
252	-1640	-48	172
267	-1448	-268	240
283	-1308	-248	-40
299	-960	-228	-92
314	-960	-228	100
330	-536	-164	100
348	-412	-124	16
364	-372	-140	-56
380	-344	-132	36
395	-344	-132	36
410	-476	-192	24
426	-336	-64	-4
441	-488	-112	-16
457	-488	-112	-16
472	-732	-156	-56
488	-848	-136	-88
503	-1080	-140	-36
519	-1080	-140	-36
534	-1520	-276	96
549	-1748	-232	-152
565	-2040	-232	-104
581	-2040	-232	-104
596	-2040	-216	-120
612	-2040	-152	-132
628	-2040	-236	-64
644	-2040	-236	-92
659	-2040	-16	-92
674	-2040	-140	40
693	-1816	-76	248
709	-1692	32	160
725	-1692	32	160
739	-1460	12	280
755	-1180	100	236
771	-980	116	-80
786	-980	116	-80
801	-652	180	56
817	-536	352	-28
832	-1348	1816	-1268
848	-1348	1816	-1268
863	-1460	732	-696
879	-1060	768	-292
895	-1336	32	-176
911	-1336	32	-176
926	-1388	-68	-732
941	-1668	332	628
957	-1748	120	-764
973	-1748	120	-764
988	-2024	-108	388
1003	-2040	204	-464
1019	-2040	124	-232
1039	-2040	-288	476
1055	-2040	-288	476
1070	-2040	-172	140
1086	-2040	-56	56
1101	-2040	-60	-120
1117	-2040	-60	-120
1132	-2040	-192	688
1148	-1676	-60	-324
1164	-1336	-188	680
1180	-1116	-252	-60
1196	-1116	-252	-60
1211	-704	-84	-196
1227	-356	296	184
1243	-460	-296	228
1258	-460	-296	228
1273	-528	-236	56
1289	-220	-116	-40
1304	-332	-36	-360
1320	-332	-36	-360
1335	-556	-224	308
1350	-668	-52	-720
1369	-880	-172	52
1385	-880	-172	52
1400	-1160	-128	-484
1416	-1556	-224	-68
1431	-1648	-104	-84
1447	-1648	-104	-84
1461	-1984	-172	172
1477	-2040	-148	-52
1492	-2040	-116	64
1508	-2040	-116	64
1523	-2040	-68	140
1539	-2040	-136	272
1555	-2040	40	328
1570	-2040	40	328
1585	-2028	64	64
1601	-1780	68	56
1617	-1664	120	44
1633	-1664	120	44
1647	-1432	60	-136
1663	-1076	116	-8
1679	-768	264	-120
1698	-632	104	-508
1714	-632	104	-508
1728	-476	164	0
1744	-440	204	-560
1760	-516	124	-32
1776	-516	124	-32
1790	-672	140	-384
1806	-944	212	4
1822	-1044	100	460
1838	-1044	100	460
1852	-1432	152	-112
1868	-1752	36	-80
1884	-2012	52	56
1900	-2012	52	56
1915	-2012	-68	60
1931	-2040	-220	360
1947	-2040	-120	120
1963	-2040	-120	120
1978	-2040	-248	328
1994	-2004	-84	-56
2010	-2040	-352	-52
2025	-1788	-140	100
2045	-1788	-140	100
2060	-1412	-180	100
2075	-1208	-164	-180
2092	-1224	-92	-288
2108	-1224	-52	276
2123	-300	-52	276
2138	-680	-284	-508
2154	-192	-168	-224
2170	-244	-128	-188
2186	-244	-128	-188
2200	-228	-124	20
2216	-404	-108	-68
2232	-620	-108	-36
2248	-620	-108	-36
2263	-860	-132	-52
2278	-1048	-28	116
2294	-1352	-212	-8
2310	-1352	-212	-8
2325	-1420	-148	0
2341	-1624	-168	48
2357	-1900	-108	0
2376	-2040	-96	40
2391	-2040	-96	40
2406	-2040	-164	236
2422	-2040	-72	-32
2438	-2040	-56	-44
2453	-2040	-56	-44
2468	-1852	0	-16
2484	-1644	52	-128
